Company,Ticker,Shares Outstanding,Market Cap
Facebook Inc A,FB,"2,294,940,000.00","269,839,045,200.00"
Fastenal Co,FAST,"288,522,000.00","13,499,944,380.00"
FedEx Corp,FDX,"275,615,000.00","45,506,792,650.00"
Federal Realty Invt Trust,FRT,"69,670,000.00","10,595,413,600.00"
Fidelity National Information,FIS,"324,816,000.00","21,372,892,800.00"
Fifth Third Bancorp (OH),FITB,"783,231,000.00","14,340,959,610.00"
First Solar Inc,FSLR,"101,768,000.00","5,682,725,120.00"
FirstEnergy Corp,FE,"423,651,000.00","13,806,786,090.00"
Fiserv Inc,FISV,"222,937,000.00","21,785,403,640.00"
Flowserve Corp,FLS,"130,070,000.00","6,348,716,700.00"
Fluor Corp,FLR,"138,918,000.00","7,593,257,880.00"
Foot Locker Inc,FL,"137,262,000.00","8,433,377,280.00"
Ford Motor Co,F,"3,898,661,000.00","52,865,843,160.00"
Franklin Resources Inc,BEN,"592,646,000.00","22,129,401,640.00"
Freeport-McMoRan Inc,FCX,"1,251,850,000.00","17,525,900,000.00"
Frontier Communications Corp,FTR,"1,168,179,000.00","6,495,075,240.00"
Gap Inc,GPS,"397,000,000.00","9,202,460,000.00"
Garmin Ltd,GRMN,"189,722,000.00","8,087,848,860.00"
General Dynamics,GD,"311,162,000.00","43,724,484,240.00"
General Electric Co,GE,"9,330,607,000.00","286,916,165,250.00"
General Growth Properties Inc,GGP,"882,397,000.00","24,733,587,910.00"
General Mills Inc,GIS,"593,345,000.00","36,395,782,300.00"
General Motors Company,GM,"1,544,493,000.00","49,114,877,400.00"
Genuine Parts Co,GPC,"149,516,000.00","14,349,050,520.00"
Gilead Sciences Inc,GILD,"1,366,846,000.00","120,569,485,660.00"
Global Payments Inc,GPN,"154,087,893.00","11,122,064,116.74"
Goldman Sachs Group Inc,GS,"422,350,000.00","69,311,858,500.00"
Goodyear Tire & Rubber Co,GT,"267,042,000.00","7,736,206,740.00"
Grainger W.W. Inc,GWW,"61,729,000.00","14,476,685,080.00"
HCA Holdings Inc,HCA,"396,958,000.00","32,002,753,960.00"
HCP Inc,HCP,"465,532,000.00","15,748,947,560.00"
HP Inc,HPQ,"1,726,658,000.00","21,186,093,660.00"
Halliburton Co,HAL,"858,342,000.00","35,458,108,020.00"
Hanesbrands Inc,HBI,"391,671,000.00","11,370,209,130.00"
Harley-Davidson Inc,HOG,"184,026,000.00","8,801,963,580.00"
Harman Intl Industries Inc,HAR,"71,142,000.00","5,460,859,920.00"
Harris Corp,HRS,"124,654,000.00","9,973,566,540.00"
Hartford Finl Services Group,HIG,"396,676,000.00","17,604,480,880.00"
Hasbro Inc,HAS,"124,795,000.00","10,562,648,800.00"
Helmerich & Payne Inc,HP,"108,011,000.00","7,141,687,320.00"
Hershey Foods Corp,HSY,"155,900,000.00","14,515,849,000.00"
Hess Corp,HES,"315,240,000.00","18,794,608,800.00"
Hewlett Packard Enterprise Co,HPE,"1,716,564,000.00","28,597,956,240.00"
Hologic Inc,HOLX,"283,818,000.00","9,533,446,620.00"
Home Depot Inc,HD,"1,267,881,000.00","169,756,587,090.00"
Honeywell Intl Inc,HON,"769,323,000.00","87,910,539,210.00"
Hormel Foods Corp,HRL,"529,918,000.00","20,428,338,900.00"
Horton D.R. Inc,DHI,"369,769,000.00","11,115,256,140.00"
Host Hotels & Resorts Inc,HST,"752,278,000.00","11,901,037,960.00"
Humana Inc,HUM,"148,303,000.00","26,260,012,210.00"
Hunt J.B. Transport Services,JBHT,"112,774,000.00","9,346,709,120.00"
Huntington Bancshares (OH),HBAN,"795,025,000.00","7,997,951,500.00"
Illinois Tool Works Inc,ITW,"363,767,000.00","38,020,926,840.00"
Illumina Inc,ILMN,"147,000,000.00","19,843,530,000.00"
Ingersoll-Rand Plc,IR,"256,848,000.00","16,833,817,920.00"
Intel Corp,INTC,"4,724,000,000.00","143,042,720,000.00"
Intercontinental Exchange Inc,ICE,"118,888,000.00","28,536,686,640.00"
Interpublic Group Cos,IPG,"402,130,000.00","9,224,862,200.00"
Intl Business Machines Corp,IBM,"960,881,000.00","140,230,973,140.00"
Intl Flavors & Fragrances,IFF,"79,868,000.00","9,541,829,960.00"
Intl Paper Co,IP,"411,158,000.00","17,790,806,660.00"
Intuit Inc,INTU,"256,821,000.00","25,910,670,690.00"
Intuitive Surgical Inc,ISRG,"37,380,000.00","23,413,336,800.00"
Invesco Ltd,IVZ,"416,416,000.00","12,913,060,160.00"
Iron Mountain Inc,IRM,"211,508,000.00","7,726,387,240.00"
JP Morgan Chase & Co,JPM,"3,670,265,000.00","231,960,748,000.00"
Jacobs Engineering Group Inc,JEC,"122,537,000.00","5,462,699,460.00"
Johnson & Johnson,JNJ,"2,759,359,000.00","309,268,956,720.00"
Johnson Controls Inc,JCI,"648,235,000.00","26,836,929,000.00"
Juniper Networks Inc,JNPR,"382,605,000.00","8,952,957,000.00"
KLA-Tencor Corporation,KLAC,"155,665,000.00","10,887,210,100.00"
Kansas City Southern Inc,KSU,"108,499,000.00","10,280,280,250.00"
Kellogg Co,K,"350,257,000.00","26,903,240,170.00"
KeyCorp,KEY,"835,606,000.00","10,269,597,740.00"
Kimberly-Clark,KMB,"360,900,000.00","45,181,071,000.00"
Kimco Realty Corp,KIM,"413,711,000.00","11,633,553,320.00"
Kinder Morgan Inc,KMI,"2,231,556,000.00","39,632,434,560.00"
Kohl's Corp,KSS,"189,820,000.00","8,409,026,000.00"
Kroger Co,KR,"974,723,000.00","34,495,446,970.00"
L Brands Inc,LB,"289,434,000.00","22,659,787,860.00"
L-3 Communications Holdings,LLL,"77,819,000.00","10,235,533,070.00"
Lab Corp of America Hldgs,LH,"101,700,000.00","12,745,044,000.00"
Lam Research Corp,LRCX,"158,894,000.00","12,139,501,600.00"
Legg Mason Inc,LM,"107,708,000.00","3,458,503,880.00"
Leggett & Platt,LEG,"135,695,000.00","6,688,406,550.00"
Lennar Corp A,LEN,"180,112,000.00","8,160,874,720.00"
Leucadia National Corp (NY),LUK,"362,243,000.00","6,042,213,240.00"
Level 3 Communications,LVLT,"356,840,000.00","18,648,458,400.00"
Lilly Eli & Co,LLY,"1,106,093,000.00","83,543,204,290.00"
Lincoln National Corp,LNC,"240,957,000.00","10,469,581,650.00"
Linear Technology Corp,LLTC,"239,346,000.00","10,646,110,080.00"
Lockheed Martin,LMT,"305,487,000.00","70,989,069,060.00"
Loews Corp,L,"338,998,000.00","13,451,440,640.00"
Lowe's Cos Inc,LOW,"915,105,000.00","69,566,282,100.00"
LyondellBasell Industries N.V.,LYB,"432,201,000.00","35,730,056,670.00"
M&T Bank Corp,MTB,"159,095,000.00","18,824,120,400.00"
Macerich Co,MAC,"149,150,000.00","11,347,332,000.00"
Macy's Inc,M,"310,300,000.00","12,284,777,000.00"
Mallinckrodt plc,MNK,"111,915,000.00","6,996,925,800.00"
Marathon Oil Corp,MRO,"843,637,000.00","11,886,845,330.00"
Marathon Petroleum Corp.,MPC,"529,227,000.00","20,682,191,160.00"
Marriott Intl A,MAR,"253,482,000.00","17,766,553,380.00"
Marsh & McLennan Companies,MMC,"521,227,000.00","32,915,485,050.00"
Martin Marietta Materials,MLM,"64,331,000.00","10,886,735,130.00"
Masco Corp,MAS,"333,932,000.00","10,255,051,720.00"
Mastercard Inc A,MA,"1,089,482,000.00","105,668,859,180.00"
Mattel Inc,MAT,"340,006,000.00","10,570,786,540.00"
McCormick & Co,MKC,"115,370,000.00","10,819,398,600.00"
McDonald's Corp,MCD,"901,608,000.00","114,044,395,920.00"
McKesson Corp,MCK,"228,587,000.00","38,361,470,340.00"
Mead Johnson Nutrition Co,MJN,"186,454,000.00","16,249,466,100.00"
Medtronic plc,MDT,"1,406,156,000.00","111,297,247,400.00"
Merck & Co Inc,MRK,"2,775,259,000.00","152,195,203,560.00"
Metlife Inc,MET,"1,096,667,000.00","49,459,681,700.00"
Michael Kors Holdings Ltd,KORS,"179,431,000.00","9,269,405,460.00"
Microchip Technology Inc,MCHP,"213,503,927.00","10,374,155,812.93"
